Any;Mes;Total;Nacional ;Internacional
2000;Enero;138706;101824;36882
2000;Febrero;149365;113734;35631
2000;Marzo;207908;147049;60859
2000;Abril;192719;125925;66794
2000;Mayo;205514;134994;70520
2000;Junio;191165;136136;55029
2000;Julio;211924;139786;72138
2000;Agosto;219466;138962;80504
2000;Septiembre;207392;142252;65140
2000;Octubre;203952;140590;63362
2000;Noviembre;158841;116807;42034
2000;Diciembre;150318;106169;44149
2001;Enero;145379;106325;39054
2001;Febrero;158214;114157;44057
2001;Marzo;205256;141632;63624
2001;Abril;208074;131751;76323
2001;Mayo;214542;134467;80075
2001;Junio;195922;137318;58604
2001;Julio;220447;140302;80145
2001;Agosto;237785;154975;82810
2001;Septiembre;215921;145219;70702
2001;Octubre;196123;135986;60137
2001;Noviembre;151503;118414;33089
2001;Diciembre;129970;101563;28407
2002;Enero;135920;108071;27849
2002;Febrero;143517;112707;30810
2002;Marzo;174173;132670;41503
2002;Abril;186806;135968;50838
2002;Mayo;173327;128719;44608
2002;Junio;175356;129243;46113
2002;Julio;209053;139697;69356
2002;Agosto;225854;150615;75239
2002;Septiembre;203792;141444;62348
2002;Octubre;196921;134982;61939
2002;Noviembre;155375;116560;38815
2002;Diciembre;142447;103343;39104
2003;Enero;146347;108859;37488
2003;Febrero;158571;113461;45110
2003;Marzo;193812;137154;56658
2003;Abril;209980;124195;85785
2003;Mayo;190117;120979;69138
2003;Junio;210532;136572;73960
2003;Julio;233562;144088;89474
2003;Agosto;263068;155555;107513
2003;Septiembre;219302;134884;84418
2003;Octubre;220250;139428;80822
2003;Noviembre;192673;136474;56199
2003;Diciembre;183484;123965;59519
2004;Enero;177875;122828;55047
2004;Febrero;192468;136427;56041
2004;Marzo;250414;166741;83673
2004;Abril;257825;154158;103667
2004;Mayo;258692;158418;100274
2004;Junio;253574;160596;92978
2004;Julio;302878;177104;125774
2004;Agosto;338562;195247;143315
2004;Septiembre;288213;166305;121908
2004;Octubre;283537;163474;120063
2004;Noviembre;248848;150952;97896
2004;Diciembre;247727;138894;108833
2005;Enero;237355;136900;100455
2005;Febrero;272038;154058;117980
2005;Marzo;367924;182771;185153
2005;Abril;372883;191269;181614
2005;Mayo;397470;208448;189022
2005;Junio;420955;219822;201133
2005;Julio;481459;241929;239530
2005;Agosto;551603;275123;276480
2005;Septiembre;464390;237589;226801
2005;Octubre;410604;203366;207238
2005;Noviembre;340036;198075;141961
2005;Diciembre;316773;172758;144015
2006;Enero;295519;167403;128116
2006;Febrero;302865;177662;125203
2006;Marzo;382541;214095;168446
2006;Abril;426523;210988;215535
2006;Mayo;430467;215588;214879
2006;Junio;443866;218173;225693
2006;Julio;491239;230110;261129
2006;Agosto;520687;251219;269468
2006;Septiembre;460842;220952;239890
2006;Octubre;447479;219467;228012
2006;Noviembre;371010;197410;173600
2006;Diciembre;371538;185788;185750
2007;Enero;352189;187043;165146
2007;Febrero;372715;199076;173639
2007;Marzo;473984;242832;231152
2007;Abril;513938;234473;279465
2007;Mayo;504486;236999;267487
2007;Junio;533683;251415;282268
2007;Julio;584026;257596;326430
2007;Agosto;630834;267540;363294
2007;Septiembre;532828;237254;295574
2007;Octubre;522673;229908;292765
2007;Noviembre;457248;222117;235131
2007;Diciembre;430077;194235;235842
2008;Enero;391334;187615;203719
2008;Febrero;442362;222332;220030
2008;Marzo;539808;242377;297431
2008;Abril;498491;227837;270654
2008;Mayo;506458;209638;296820
2008;Junio;522738;218678;304060
2008;Julio;587259;226578;360681
2008;Agosto;643117;242134;400983
2008;Septiembre;539211;213089;326122
2008;Octubre;481836;196936;284900
2008;Noviembre;313323;179222;134101
2008;Diciembre;301531;169313;132218
2009;Enero;266295;143502;122793
2009;Febrero;303429;183150;120279
2009;Marzo;370277;218433;151844
2009;Abril;418429;205504;212925
2009;Mayo;398562;199475;199087
2009;Junio;427531;202165;225366
2009;Julio;504529;226445;278084
2009;Agosto;545395;240404;304991
2009;Septiembre;445110;199144;245966
2009;Octubre;410278;193430;216848
2009;Noviembre;320101;176286;143815
2009;Diciembre;320079;163610;156469
2010;Enero;279447;143292;136155
2010;Febrero;307445;171135;136310
2010;Marzo;390641;209588;181053
2010;Abril;403148;203888;199260
2010;Mayo;423944;197597;226347
2010;Junio;451350;208262;243088
2010;Julio;512918;215880;297038
2010;Agosto;549367;213281;336086
2010;Septiembre;463594;201283;262311
2010;Octubre;430578;196628;233950
2010;Noviembre;386321;203345;182976
2010;Diciembre;332280;162516;169764
2011;Enero;318314;139344;178970
2011;Febrero;329987;153958;176029
2011;Marzo;421747;193844;227903
2011;Abril;436178;166030;270148
2011;Mayo;425666;155498;270168
2011;Junio;445423;159780;285643
2011;Julio;524786;182619;342167
2011;Agosto;550160;182936;367224
2011;Septiembre;465500;162474;303026
2011;Octubre;422346;148697;273649
2011;Noviembre;319251;133361;185890
2011;Diciembre;316104;124517;191587
2012;Enero;286337;112722;173615
2012;Febrero;293701;124546;169155
2012;Marzo;367225;147709;219516
2012;Abril;428913;141115;287798
2012;Mayo;413461;133256;280205
2012;Junio;438755;140560;298195
2012;Julio;527536;164752;362784
2012;Agosto;550986;167917;383069
2012;Septiembre;459343;142847;316496
2012;Octubre;407064;124361;282703
2012;Noviembre;289572;104819;184753
2012;Diciembre;284063;106387;177676
2013;Enero;263328;99397;163931
2013;Febrero;264023;100334;163689
2013;Marzo;358060;125397;232663
2013;Abril;412322;122495;289827
2013;Mayo;411062;119545;291517
2013;Junio;429288;124535;304753
2013;Julio;503665;144963;358702
2013;Agosto;530997;153987;377010
2013;Septiembre;449690;125784;323906
2013;Octubre;418917;115850;303067
2013;Noviembre;296756;99688;197068
2013;Diciembre;275799;93967;181832
2014;Enero;254177;82871;171306
2014;Febrero;256683;85125;171558
2014;Marzo;322250;106051;216199
2014;Abril;414896;120078;294818
2014;Mayo;406795;111982;294813
2014;Junio;432775;127892;304883
2014;Julio;495448;141358;354090
2014;Agosto;533939;157849;376090
2014;Septiembre;445541;126060;319481
2014;Octubre;422477;115020;307457
2014;Noviembre;308248;96792;211456
2014;Diciembre;292616;91746;200870
2015;Enero;270483;82678;187805
2015;Febrero;274268;87580;186688
2015;Marzo;359869;115563;244306
2015;Abril;446223;138425;307798
2015;Mayo;445837;128995;316842
2015;Junio;477737;144118;333619
2015;Julio;548021;164149;383872
2015;Agosto;598542;180633;417909
2015;Septiembre;489821;137813;352008
2015;Octubre;461864;128020;333844
2015;Noviembre;341254;103925;237329
2015;Diciembre;329207;101539;227668
2016;Enero;306715;91372;215343
2016;Febrero;328054;102614;225440
2016;Marzo;421203;130501;290702
2016;Abril;467335;130686;336649
2016;Mayo;513795;141630;372165
2016;Junio;534245;150070;384175
2016;Julio;626996;171761;455235
2016;Agosto;679794;190332;489462
2016;Septiembre;564957;148436;416521
2016;Octubre;537732;130783;406949
2016;Noviembre;403920;115887;288033
2016;Diciembre;400652;110489;290163
2017;Enero;366176;99401;266775
2017;Febrero;364085;105129;258956
2017;Marzo;463407;144894;318513
2017;Abril;559879;167685;392194
2017;Mayo;588417;168152;420265
2017;Junio;622911;183900;439011
2017;Julio;717427;199578;517849
2017;Agosto;753852;211118;542734
2017;Septiembre;657720;172786;484934
2017;Octubre;638457;166184;472273
2017;Noviembre;508349;145979;362370
2017;Diciembre;488819;143110;345709
2018;Enero;468154;132253;335901
2018;Febrero;466696;137976;328720
2018;Marzo;596217;180574;415643
2018;Abril;664368;181074;483294
2018;Mayo;679282;171598;507684
2018;Junio;690238;179346;510892
2018;Julio;789768;206013;583755
2018;Agosto;822484;213101;609383
2018;Septiembre;724570;182254;542316
2018;Octubre;709354;179044;530310
2018;Noviembre;576606;150702;425904
2018;Diciembre;564349;150184;414165
2019;Enero;541969;140839;401130
2019;Febrero;523028;142500;380528
2019;Marzo;667052;186876;480176
2019;Abril;749050;201851;547199
2019;Mayo;743378;191335;552043
2019;Junio;778796;202493;576303
2019;Julio;856286;217684;638602
2019;Agosto;885633;217863;667770
2019;Septiembre;787165;197404;589761
2019;Octubre;765423;191649;573774
2019;Noviembre;617877;171059;446818
2019;Diciembre;593994;164973;429021
